,experiment,lambda_entropy,n_inp,depth,n_selection_heads,samples,n_iteration,rmse,formula
0,math3,0.001,2,2,2,320,5000,0.20532434601442287,0.014*x_1**2*x_2 + 0.965*x_1**2 + 0.005*x_1*x_2**2 + 0.986*x_1*x_2 - 1.999*x_2**3 + 0.002*x_2**2
1,math3,0.01,2,2,2,320,5000,0.3214690606210019,0.992*x_1**2 + 0.973*x_1*x_2 + 0.044*x_1 - 1.998*x_2**3 + 0.005*x_2**2 - 0.032*x_2*sin(x_2) - 0.e-3*x_2 - 0.004*sin(x_2) - 0.011*sin(0.435*x_1 - 0.977*x_2**2 + 0.014*x_2 - 0.016*sin(x_2)) + 0.001
2,math3,1.0,2,2,2,320,5000,0.7362685604336122,0.941*x_1**2 + 0.972*x_1*x_2 - 0.013*x_1 - 2.0*x_2**3 + 0.025*x_2**2 - 0.032*x_2*sin(x_1) - 0.052*x_2*sin(x_2) + 0.021*x_2*cos(x_1) + 0.003*x_2 - 0.001*sin(x_1) - 0.002*sin(x_2) + 0.114*cos(x_1) + 0.024*cos(x_2) + 0.074
3,math3,0.001,2,2,2,320,10000,0.07571887800653651,0.922*x_1**2 + 0.83*x_1*x_2 + 0.01*x_1 - 1.981*x_2**3 - 0.047*x_2**2 - 0.012*cos(x_1)
4,math3,0.01,2,2,2,320,10000,0.718028170420779,0.01*x_1**2*x_2 + 1.0*x_1**2 - 0.025*x_1*x_2**2 + 0.968*x_1*x_2 + 0.002*x_1*sin(x_1) + 0.001*x_1*cos(x_2) - 0.025*x_1 - 1.999*x_2**3 - 0.046*x_2**2 - 0.02*x_2 + 0.015*sin(x_2) + 0.02*cos(x_2) + 0.01*cos(0.035*x_1**2 + 0.214*x_1 - 0.436*x_2**2 - 0.013*x_2 + 0.011) + 0.013*cos(-1.417*x_1*x_2 + 0.048*x_1 - 0.041*x_2**2 + 0.02*sin(x_1) + 0.01*cos(x_2))
5,math3,1.0,2,2,2,320,10000,0.17651868042862678,0.992*x_1**2 + 0.945*x_1*x_2 + 0.018*x_2**2*(0.026*x_1 - 0.1*x_2 + 0.035*sin(x_1) - 0.013*sin(x_2) - 0.038*cos(x_2) + 0.028) + 1.173*x_2*(0.025*x_1 - 1.689*x_2**2) - 0.013*sin(x_2) + 0.012*sin(0.026*x_1 - 0.1*x_2 + 0.035*sin(x_1) - 0.013*sin(x_2) - 0.038*cos(x_2) + 0.028) - 0.02*cos(x_2)
6,math3,0.001,2,2,2,320,50000,0.1551945807678869,0.997*x_1**2 + 0.962*x_1*x_2 + 0.021*x_1 - 1.999*x_2**3 - 0.016*x_2**2 - 0.047*x_2 + 0.011*sin(x_1) - 0.192*sin(0.014*cos(x_1)) - 0.02*cos(x_1) + 0.018*cos(x_2) - 0.286*cos(0.014*cos(x_1)) + 0.437
7,math3,0.01,2,2,2,320,50000,0.11202785308841144,0.004*x_1**2*x_2 + 1.004*x_1**2 + 0.973*x_1*x_2 - 0.054*x_1 - 2.0*x_2**3 - 0.023*x_2**2 + 0.049*x_2 - 0.016*cos(x_2)
8,math3,1.0,2,2,2,320,50000,0.02106660119135684,0.953*x_1**2 + 0.961*x_1*x_2 + 0.015*x_1 - 2.0*x_2**3 + 0.034*x_2**2 + 0.003*x_2 + 0.01
9,math3,0.001,2,2,2,3200,5000,0.23817681373801655,-0.007*x_1**2*x_2 + 0.808*x_1**2 + 0.015*x_1*x_2**2 + 0.871*x_1*x_2 + 0.063*x_1 - 1.994*x_2**3 - 0.021*x_2**2 - 0.026*x_2*sin(x_2) - 0.017*sin(-0.036*x_1*x_2 + 4.356*x_1 + 0.965*x_2) - 0.054*cos(x_1) - 0.032*cos(x_2)
10,math3,0.01,2,2,2,3200,5000,0.288457015054388,0.986*x_1**2 + 0.96*x_1*x_2 + 0.068*x_1 - 2.001*x_2**3 - 0.041*x_2**2 + 0.016*x_2 + 0.017*sin(x_1) + 0.017*sin(x_2) - 0.021*sin(0.079*x_1 - 1.128*x_2**2) + 0.019*cos(x_1) + 0.01*cos(0.079*x_1 - 1.128*x_2**2) + 0.016
11,math3,1.0,2,2,2,3200,5000,1.3133491580275893,0.941*x_1**2 + 0.996*x_1*x_2 - 0.291*x_1 - 1.989*x_2**3 + 0.082*x_2**2 + 0.034*x_2*sin(x_1) - 0.019*x_2*sin(x_2) + 0.019*x_2*cos(x_2) - 0.033*x_2 + 0.097*cos(x_1)
12,math3,0.001,2,2,2,3200,10000,0.1281434276407856,0.982*x_1**2 + 0.982*x_1*x_2 - 0.041*x_1 - 2.0*x_2**3 + 0.031*x_2**2 + 0.029*x_2 - 0.011*sin(x_1) + 0.046*cos(x_1) - 0.022*cos(x_2)
13,math3,0.01,2,2,2,3200,10000,1.831123608967637,0.982*x_1**2 + 0.001*x_1*x_2 - 0.006*x_1 - 14.844*x_2**2 - 0.296*x_2 + 16.403*(0.033*x_1 - 0.046*x_2**2 + x_2 + 0.002*sin(x_2) - 0.002*cos(x_2) - 0.008)**2 - 1.796*(0.005*x_1*x_2 - 0.045*x_1 - 0.134*x_2**2 - x_2 + 0.008*sin(x_2) + 0.007*cos(x_1) + 0.103*cos(x_2) + 0.03)**2 - 0.015*sin(x_1) + 0.001*sin(x_2) - 0.016*cos(x_1) + 0.028*cos(x_2) + 0.005
14,math3,1.0,2,2,2,3200,10000,0.05228302475686951,0.996*x_1**2 + 0.991*x_1*x_2 - 1.998*x_2**3 + 0.01*x_2**2
15,math3,0.001,2,2,2,3200,50000,0.05674644916531527,0.996*x_1**2 + 0.966*x_1*x_2 - 2.0*x_2**3 + 0.01*x_2*(0.152*x_1**2 + 0.148*x_1*x_2 - 0.007*x_2 - 0.011) - 0.043*x_2 - 0.07
